movie_id,movieTitle,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,Total,x,y,movie_rating,movie_directors,movie_writers,movie_stars,movie_genres,release_year,anger-orig,anticipation-orig,disgust-orig,fear-orig,joy-orig,sadness-orig,surprise-orig,trust-orig,anger-per,anticipation-per,disgust-per,fear-per,joy-per,sadness-per,surprise-per,trust-per
425326,Outsourced,-1.295084072,-0.093316836,-1.374300752,-1.344264659,0.232321057,-1.995404812,0.05173024,0.854029557,0.122078745,-37.17092,4.640769,7.1,John Jeffcoat,George Wing & John Jeffcoat,Josh Hamilton & Ayesha Dharker & Asif Basra,Comedy & Drama & Romance,2007,151,425,109,212,381,154,230,501,16.43632872,46.51260836,31.0997275,24.69599824,44.90733894,4.552150579,48.69466316,50.87180437
425413,Run- Fatboy- Run,-1.523182543,1.02114986,-1.131735533,-1.107906992,1.380774188,-0.870673977,0.357206745,0.809835759,0.104079004,-43.074066,-9.904186,6.6,David Schwimmer,Michael Ian Black & Simon Pegg,Simon Pegg & Thandie Newton & Hank Azaria,Comedy & Romance & Sport,2008,215,753,184,354,742,339,377,784,12.96596001,61.97520346,34.84247094,28.88400637,65.63095356,19.56484096,51.92913831,50.19633828
425430,The Messengers,0.932487108,0.410762518,1.278431285,1.445669167,-0.816298977,1.149974666,2.805502497,-1.444296912,0.12036854,43.760868,31.299856,5.4,Danny Pang & Oxide Chun Pang,Mark Wheaton & Todd Farmer,Dylan McDermott & Penelope Ann Miller & Kristen Stewart,Drama & Horror & Thriller,2007,1149,1775,932,1695,1178,1288,1253,1447,50.327364,53.50642431,72.03096843,74.13067775,25.98519323,46.53606954,77.85241436,15.74376211
425598,Block Party,-1.177117202,0.527355694,-1.203991045,-1.984403541,1.157773791,-0.117573462,-0.798667091,0.580486197,0.103485898,-29.83109,-2.031573,7.2,Michel Gondry,Dave Chappelle,Dave Chappelle & Yasiin Bey & Lauryn Hill,Documentary & Comedy & Music,2006,195,560,141,222,559,316,250,597,18.23111731,55.12408868,33.72757968,13.35341363,61.60695452,29.61708146,39.69040591,46.6909176
425601,Trailer Park Boys: The Movie,-0.591943539,-0.813870533,0.573024209,-0.498172184,-0.337898161,-1.040849322,-1.049656124,1.453306125,0.114115456,-26.551306,19.821592,7.3,Mike Clattenburg,Mike Clattenburg & Robb Wells,Robb Wells & John Paul Tremblay & Mike Smith,Comedy & Crime,2006,194,388,191,261,334,205,194,533,27.134151,36.51533333,61.14664744,39.68786291,34.61784343,17.29337325,37.03286016,60.03125708
425637,Red Cliff,1.322284747,-1.68779744,-1.256580447,0.379783678,-0.85806951,-1.303357289,-1.434275124,-1.010618302,0.131808858,32.503952,-17.510284,7.4,John Woo,John Woo & Khan Chan,Tony Chiu Wai Leung & Takeshi Kaneshiro & Fengyi Zhang,Action & Adventure & Drama & History & War,2009,355,392,127,369,332,216,206,441,56.25787955,24.39009177,32.91613341,55.24431312,25.23145205,13.78946752,32.96040098,22.37218532
426459,Feast,1.189649076,-0.545688476,1.801042625,1.815450396,-0.945772656,0.617998911,1.145288225,-1.512436025,0.138010869,45.164837,19.051239,6.4,John Gulager,Marcus Dunstan & Patrick Melton,Navi Rawat & Krista Allen & Balthazar Getty,Action & Comedy & Horror & Thriller,2007,855,1123,765,1312,802,827,737,1009,54.23991476,40.2362077,80.09477977,80.68281042,23.64886574,39.4353597,60.27357698,14.70231143
426592,Superhero Movie,-0.104774613,-0.030805693,1.138639201,-0.221181223,0.16499312,-0.276953591,0.841931428,-1.043853451,0.108115513,11.879584,14.571521,4.5,Craig Mazin,Craig Mazin,Drake Bell & Leslie Nielsen & Sara Paxton,Action & Comedy & Sci-Fi & Thriller,2008,578,1096,580,721,962,635,653,998,34.54610686,47.37991512,69.87399841,44.59585005,43.69241933,27.48970622,57.06154593,21.86421323
426615,In the Mix,1.071074578,0.231245187,1.138724844,0.726077528,0.250870019,0.416760483,-0.645170973,0.18331862,0.124612151,25.697107,15.115701,2.6,Ron Underwood,Jacqueline Zambrano & Chanel Capra,Usher Raymond & Chazz Palminteri & Emmanuelle Chriqui,Comedy & Crime & Drama & Music & Romance,2005,242,356,183,289,309,231,168,373,52.43588151,51.01572287,69.87531987,61.38027425,45.24205136,36.74926795,41.31566799,40.6205357
426883,Alpha Dog,0.886040814,-0.270836393,0.481701012,0.206982227,-0.263985076,-0.052953234,0.652243953,0.691399494,0.123334232,10.2852745,17.603214,6.9,Nick Cassavetes,Nick Cassavetes,Emile Hirsch & Justin Timberlake & Anton Yelchin,Biography & Crime & Drama,2007,1539,2226,1000,1677,1827,1391,1331,2627,49.62071408,44.0496249,59.73754478,52.182454,35.95159075,30.4796198,55.05307911,48.38613673
